timestamp;pv_gen_kwh;load_kwh;baseline_pv_to_load_kwh;pv_to_load_kwh;pv_to_grid_kwh;batt_charge_kwh;contract_power_kw
2024-01-04 04:00:00;0,0;13,4582775;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 05:00:00;0,0;15,1094475;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 06:00:00;0,0;18,2196225;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 07:00:00;0,0;26,0792975;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 08:00:00;0,1496701735959827;42,63165;0,1496701735959827;0,14451398601322166;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 09:00:00;4,934617929856319;51,825325;4,934617929856319;4,929461742273558;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 10:00:00;7,849324717972391;52,572250000000004;7,849324717972391;7,84416853038963;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 11:00:00;10,690409641338205;54,104625;10,690409641338205;10,685253453755443;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 12:00:00;5,6735885200525376;49,727725;5,6735885200525376;5,668432332469776;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 13:00:00;4,508703014147783;41,58515;4,508703014147783;4,503546826565022;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 14:00:00;2,092231012097816;39,074125;2,092231012097816;2,0870748245150548;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 15:00:00;0,2314295033005497;43,106025;0,2314295033005497;0,22627331571778866;0,0;0,005156187582761051;0,005156187582761051
2024-01-04 16:00:00;0,0;45,43535;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 17:00:00;0,0;46,15410000000001;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 18:00:00;0,0;38,03337500000001;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 19:00:00;0,0;26,4247;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 20:00:00;0,0;21,62368;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 21:00:00;0,0;18,9547025;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 22:00:00;0,0;17,2072775;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 23:00:00;0,0;16,0990225;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 00:00:00;0,0;16,76631;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 01:00:00;0,0;16,5853;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 02:00:00;0,0;14,673999999999998;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 03:00:00;0,0;14,4478525;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 04:00:00;0,0;14,9398225;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 05:00:00;0,0;15,98592;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-05 06:00:00;0,0;18,095135;0,0;0,0;0,0;0,0;0,005156187582761051
