Zeit;Verbrauch 
04.01. 20:45;9,0082
04.01. 21:00;8,7034
04.01. 21:15;8,3788
04.01. 21:30;8,074
04.01. 21:45;7,8085
04.01. 22:00;7,6314
04.01. 22:15;7,5134
04.01. 22:30;7,4347
04.01. 22:45;7,3462
04.01. 23:00;7,2479
04.01. 23:15;7,1102
04.01. 23:30;6,9332
04.01. 23:45;6,707
05.01. 00:00;6,884
05.01. 00:15;7,1791
05.01. 00:30;7,4643
05.01. 00:45;7,6314
05.01. 01:00;7,5823
05.01. 01:15;7,3757
05.01. 01:30;7,0905
05.01. 01:45;6,7955
05.01. 02:00;6,5693
05.01. 02:15;6,4021
05.01. 02:30;6,3038
05.01. 02:45;6,2448
05.01. 03:00;6,235
05.01. 03:15;6,2546
05.01. 03:30;6,294
05.01. 03:45;6,3431
05.01. 04:00;6,3923
05.01. 04:15;6,4513
05.01. 04:30;6,5202
05.01. 04:45;6,6185
05.01. 05:00;6,7365
05.01. 05:15;6,8742
05.01. 05:30;7,0217
05.01. 05:45;7,1692
05.01. 06:00;7,3167
05.01. 06:15;7,5528
05.01. 06:30;7,9658
05.01. 06:45;8,6345
05.01. 07:00;9,6376
05.01. 07:15;10,887
05.01. 07:30;12,273
05.01. 07:45;13,689
05.01. 08:00;15,047
05.01. 08:15;16,266
05.01. 08:30;17,299
05.01. 08:45;18,105
05.01. 09:00;18,636
05.01. 09:15;18,961
05.01. 09:30;19,187
05.01. 09:45;19,383
05.01. 10:00;19,649
05.01. 10:15;19,934
05.01. 10:30;20,2
05.01. 10:45;20,396
05.01. 11:00;20,495
05.01. 11:15;20,485
05.01. 11:30;20,396
05.01. 11:45;20,219
05.01. 12:00;19,964
05.01. 12:15;19,639
05.01. 12:30;19,236
05.01. 12:45;18,744
05.01. 13:00;18,154
05.01. 13:15;17,456
05.01. 13:30;16,61
05.01. 13:45;15,617
05.01. 14:00;14,476
05.01. 14:15;13,257
05.01. 14:30;12,067
05.01. 14:45;11,024
05.01. 15:00;10,208
05.01. 15:15;9,5786
05.01. 15:30;9,1066
05.01. 15:45;8,7329
05.01. 16:00;8,4182
05.01. 16:15;8,192
05.01. 16:30;8,1035
05.01. 16:45;8,1822
05.01. 17:00;8,4378
05.01. 17:15;8,8017
05.01. 17:30;9,1853
05.01. 17:45;9,4606
05.01. 18:00;9,5786
05.01. 18:15;9,5786
05.01. 18:30;9,5196
05.01. 18:45;9,4606
05.01. 19:00;9,4705
05.01. 19:15;9,5196
05.01. 19:30;9,559
05.01. 19:45;9,559
05.01. 20:00;9,4705
05.01. 20:15;9,3229
05.01. 20:30;9,1263
05.01. 20:45;8,9099
05.01. 21:00;8,7034
05.01. 21:15;8,4969
