Datum;price;;
01.02.2024;9,25;;
01.02.2024;8,629;;
01.02.2024;8,367;;
01.02.2024;7,722;;
01.02.2024;6,76;;
01.02.2024;5,726;;
01.02.2024;6,874;;
01.02.2024;7,507;;
01.02.2024;7,705;;
01.02.2024;9,161;;
01.02.2024;9,467;;
01.02.2024;9,789;;
01.02.2024;8,997;;
01.02.2024;8,329;;
01.02.2024;8,188;;
01.02.2024;7,338;;
02.02.2024;6,427;;
02.02.2024;5,994;;
02.02.2024;5,8;;
02.02.2024;5,469;;
02.02.2024;5,323;;
02.02.2024;5,507;;
02.02.2024;6,694;;
02.02.2024;7,699;;
02.02.2024;8,932;;
02.02.2024;8,59;;
02.02.2024;8,077;;
02.02.2024;7,515;;
02.02.2024;6,48;;
02.02.2024;5,652;;
02.02.2024;5,483;;
02.02.2024;5,309;;
02.02.2024;5,273;;
02.02.2024;5,85;;
02.02.2024;6,897;;
02.02.2024;6,334;;
02.02.2024;5,506;;
02.02.2024;4,968;;
02.02.2024;4,603;;
02.02.2024;3,605;;
03.02.2024;2,474;;
03.02.2024;1,285;;
03.02.2024;0,673;;
03.02.2024;1,051;;
03.02.2024;0,853;;
03.02.2024;0,88;;
03.02.2024;1,648;;
03.02.2024;3,417;;
03.02.2024;4,599;;
03.02.2024;4,597;;
03.02.2024;3,562;;
03.02.2024;3,042;;
03.02.2024;3,058;;
03.02.2024;3,062;;
03.02.2024;4,074;;
03.02.2024;4,37;;
03.02.2024;4,936;;
03.02.2024;5,783;;
03.02.2024;6,857;;
03.02.2024;6,598;;
03.02.2024;5,437;;
03.02.2024;5,121;;
03.02.2024;5,081;;
03.02.2024;3,871;;
04.02.2024;3,53;;
04.02.2024;1,004;;
04.02.2024;0,323;;
04.02.2024;0,068;;
04.02.2024;0;;
04.02.2024;0;;
04.02.2024;0;;
04.02.2024;0,105;;
04.02.2024;0,887;;
04.02.2024;0,983;;
04.02.2024;1,087;;
04.02.2024;1,281;;
04.02.2024;1,382;;
04.02.2024;0,462;;
04.02.2024;0,972;;
04.02.2024;1,572;;
04.02.2024;1,843;;
04.02.2024;3,891;;
04.02.2024;4,601;;
04.02.2024;3,617;;
04.02.2024;2,905;;
04.02.2024;2,452;;
04.02.2024;2,444;;
04.02.2024;0,057;;
05.02.2024;0;;
05.02.2024;-0,003;;
05.02.2024;-0,007;;
05.02.2024;-0,013;;
05.02.2024;-0,005;;
05.02.2024;0,042;;
05.02.2024;3,897;;
05.02.2024;5,891;;
05.02.2024;6,232;;
05.02.2024;5,686;;
05.02.2024;5,293;;
