Zeit;pv
20.01. 06:00;0
20.01. 07:00;0
20.01. 08:00;1,2253
20.01. 09:00;12,26
20.01. 10:00;10,819
20.01. 11:00;10,847
20.01. 12:00;27,326
20.01. 13:00;38,336
20.01. 14:00;15,132
20.01. 15:00;4,4556
20.01. 16:00;0
20.01. 17:00;0
20.01. 18:00;0
20.01. 19:00;0
20.01. 20:00;0
20.01. 21:00;0
20.01. 22:00;0
20.01. 23:00;0
21.01. 00:00;0
21.01. 01:00;0
21.01. 02:00;0
21.01. 03:00;0
21.01. 04:00;0
21.01. 05:00;0
21.01. 06:00;0
21.01. 07:00;0
21.01. 08:00;4,1381
21.01. 09:00;21,051
21.01. 10:00;41,7
21.01. 11:00;27,644
21.01. 12:00;25,413
21.01. 13:00;24,648
21.01. 14:00;35,991
21.01. 15:00;20,905
21.01. 16:00;0
21.01. 17:00;0
21.01. 18:00;0
21.01. 19:00;0
21.01. 20:00;0
21.01. 21:00;0
21.01. 22:00;0
21.01. 23:00;0
22.01. 00:00;0
22.01. 01:00;0
22.01. 02:00;0
22.01. 03:00;0
22.01. 04:00;0
22.01. 05:00;0
22.01. 06:00;0
22.01. 07:00;0
22.01. 08:00;3,1481
22.01. 09:00;19,731
22.01. 10:00;22,686
22.01. 11:00;43,461
22.01. 12:00;59,306
22.01. 13:00;55,134
22.01. 14:00;45,065
22.01. 15:00;24,342
22.01. 16:00;1,8388
22.01. 17:00;0
22.01. 18:00;0
22.01. 19:00;0
22.01. 20:00;0
22.01. 21:00;0
22.01. 22:00;0
22.01. 23:00;0
23.01. 00:00;0
23.01. 01:00;0
23.01. 02:00;0
23.01. 03:00;0
23.01. 04:00;0
23.01. 05:00;0
23.01. 06:00;0
23.01. 07:00;0
23.01. 08:00;1,8605
23.01. 09:00;12,084
23.01. 10:00;25,054
23.01. 11:00;48,54
23.01. 12:00;74,962
23.01. 13:00;81,556
23.01. 14:00;51,803
23.01. 15:00;14,593
23.01. 16:00;0
23.01. 17:00;0
23.01. 18:00;0
23.01. 19:00;0
23.01. 20:00;0
23.01. 21:00;0
23.01. 22:00;0
23.01. 23:00;0
